,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
0,-0.004905,45.906399,47.187133,47.187133,11613,47.187134,47.187132,0.0,0.0,0,4
1,-0.004905,36.622429,47.584049,47.584049,181489,47.58405,47.584048,0.0,0.0,0,4
2,-0.103005,15.237623,47.685025,47.685025,224713,47.68505,47.685,0.0,0.0,0,20
3,-0.004905,39.456215,47.828304,47.828304,25932,47.828305,47.828303,0.0,0.0,0,4
4,-0.004905,29.502342,48.07256,48.07256,130471,48.072561,48.072559,0.0,0.0,0,4
5,-0.11772,32.350868,47.79809,47.79809,13011,47.798118,47.798061,0.0,0.0,0,6
6,-0.004905,171.698029,48.408411,48.408411,14116,48.408412,48.40841,0.0,0.0,0,6
7,-0.004905,25.660038,48.652667,48.652667,118655,48.652668,48.652665,0.0,0.0,0,4
8,-0.004905,37.080132,49.049582,49.049582,28435,49.049583,49.049581,0.0,0.0,0,4
9,0.00981,20.769617,49.848361,49.848361,110207,49.848359,49.848363,0.0,0.0,0,2
10,0.004905,46.132488,49.86129,49.86129,115741,49.861289,49.861291,0.0,0.0,0,3
11,-0.004905,18.108919,50.021116,50.021116,184147,50.021117,50.021115,0.0,0.0,0,3
12,-0.004905,20.950356,50.015135,50.015135,181587,50.015136,50.015134,0.0,0.0,0,3
13,-0.00981,17.220278,50.080932,50.080932,209747,50.080934,50.080929,0.0,0.0,0,3
14,-0.004905,43.134926,50.045042,50.045042,194387,50.045043,50.045041,0.0,0.0,0,7
15,-0.004905,149.867813,50.068968,50.068968,204627,50.068969,50.068967,0.0,0.0,0,9
16,-0.004905,130.381378,50.03906,50.03906,191827,50.039062,50.039059,0.0,0.0,0,10
17,-0.004905,158.380203,50.057005,50.057005,199507,50.057006,50.057004,0.0,0.0,0,11
18,-0.004905,325.824097,50.062989,50.062989,202067,50.06299,50.062987,0.0,0.0,0,12
19,-0.0981,19.384741,50.224823,50.224823,11237,50.224846,50.224799,0.0,0.0,0,22
20,0.127529,19.172497,50.218807,50.218807,8647,50.218776,50.218837,0.0,0.0,0,23
21,0.10791,24.03997,50.236756,50.236756,16330,50.23673,50.236781,0.0,0.0,0,24
22,-0.08829,31.289953,50.248749,50.248749,21485,50.24877,50.248727,0.0,0.0,0,22
23,-0.073575,17.205515,50.212856,50.212856,6114,50.212874,50.212839,0.0,0.0,0,21
24,-0.04905,25.726843,50.242763,50.242763,18918,50.242774,50.242751,0.0,0.0,0,22
25,-0.093195,57.971764,50.230805,50.230805,13796,50.230828,50.230783,0.0,0.0,0,25
26,-0.04905,53.139053,50.368373,50.368373,72670,50.368385,50.368361,0.0,0.0,0,24
27,-0.034335,18.771004,50.300158,50.300158,43480,50.300166,50.300149,0.0,0.0,0,7
28,-0.053955,66.071037,50.266689,50.266689,29159,50.266702,50.266677,0.0,0.0,0,24
29,0.093195,79.884369,50.260687,50.260687,26572,50.260665,50.26071,0.0,0.0,0,30
30,-0.053955,279.158875,50.290613,50.290613,39399,50.290626,50.2906,0.0,0.0,0,27
31,-0.053955,59.788715,50.362393,50.362393,70111,50.362406,50.36238,0.0,0.0,0,24
32,-0.093195,24.716324,50.386323,50.386323,80356,50.386345,50.386301,0.0,0.0,0,24
33,-0.063765,85.212646,50.272671,50.272671,31712,50.272686,50.272656,0.0,0.0,0,25
34,-0.083385,19.9119,50.392302,50.392302,82924,50.392322,50.392282,0.0,0.0,0,22
35,-0.053955,114.537788,50.254724,50.254724,24031,50.254737,50.254711,0.0,0.0,0,25
36,-0.073575,425.876434,50.296597,50.296597,41963,50.296614,50.296579,0.0,0.0,0,29
37,0.132434,82.937599,50.343988,50.343988,62215,50.343956,50.34402,0.0,0.0,0,56
38,-0.06867,44.072811,50.398282,50.398282,85474,50.398299,50.398266,0.0,0.0,0,24
39,-0.053955,33.523617,50.380337,50.380337,77799,50.38035,50.380324,0.0,0.0,0,22
40,0.014715,17.652681,50.258974,50.258974,25849,50.258971,50.258978,0.0,0.0,0,6
41,-0.053955,20.782349,50.40426,50.40426,88039,50.404273,50.404247,0.0,0.0,0,21
42,-0.053955,133.711121,50.284631,50.284631,36839,50.284644,50.284619,0.0,0.0,0,25
43,-0.03924,15.725502,50.300252,50.300252,43520,50.300262,50.300243,0.0,0.0,0,6
44,0.004905,27.506866,50.316541,50.316541,50489,50.31654,50.316542,0.0,0.0,0,5
45,0.004905,23.532072,50.348696,50.348696,64249,50.348695,50.348697,0.0,0.0,0,6
46,-0.004905,18.324371,50.289199,50.289199,38787,50.289201,50.289198,0.0,0.0,0,5
47,-0.053955,112.64563,50.356411,50.356411,67559,50.356424,50.356398,0.0,0.0,0,24
48,-0.00981,123.976257,50.282502,50.282502,35923,50.282504,50.282499,0.0,0.0,0,7
49,-0.10791,186.063751,50.338473,50.338473,59880,50.338498,50.338447,0.0,0.0,0,27
50,0.00981,209.184128,50.294472,50.294472,41043,50.294469,50.294474,0.0,0.0,0,7
51,0.024525,15.543921,50.289316,50.289316,38834,50.28931,50.289322,0.0,0.0,0,4
52,0.004905,18.583721,50.28322,50.28322,36227,50.283219,50.283221,0.0,0.0,0,6
53,-0.044145,26.207378,50.422205,50.422205,95718,50.422215,50.422194,0.0,0.0,0,23
54,-0.044145,153.900558,50.374353,50.374353,75238,50.374364,50.374343,0.0,0.0,0,26
55,-0.004905,21.134323,50.295461,50.295461,41467,50.295462,50.29546,0.0,0.0,0,5
56,0.004905,28.188847,50.279727,50.279727,34732,50.279726,50.279728,0.0,0.0,0,6
57,0.01962,21.291698,50.279647,50.279647,34696,50.279642,50.279651,0.0,0.0,0,6
58,-0.053955,13636.672852,50.308793,50.308793,47079,50.308806,50.30878,0.0,0.0,0,363
59,-0.053955,448.270844,50.27865,50.27865,34279,50.278663,50.278637,0.0,0.0,0,30
60,0.112815,18.106197,50.285069,50.285069,37004,50.285042,50.285096,0.0,0.0,0,22
61,-0.004905,36.960945,50.287211,50.287211,37936,50.287212,50.28721,0.0,0.0,0,6
62,-0.004905,21.975853,50.295347,50.295347,41419,50.295348,50.295346,0.0,0.0,0,5
63,0.299204,15.84529,50.331708,50.331708,56949,50.331636,50.33178,0.0,0.0,0,6
64,0.004905,30.439308,50.299174,50.299174,43056,50.299173,50.299175,0.0,0.0,0,5
65,-0.053955,2638.631104,50.32653,50.32653,54759,50.326543,50.326517,0.0,0.0,0,119
66,-0.08829,289.768127,50.332489,50.332489,57325,50.33251,50.332468,0.0,0.0,0,29
67,-0.053955,12997.066406,50.320581,50.320581,52199,50.320594,50.320568,0.0,0.0,0,213
68,-0.04905,17.489059,50.330346,50.330346,56404,50.330358,50.330335,0.0,0.0,0,9
69,-0.00981,26.04463,50.351501,50.351501,65452,50.351503,50.351499,0.0,0.0,0,6
70,-0.004905,25.918173,50.329081,50.329081,55856,50.329082,50.32908,0.0,0.0,0,6
71,0.03924,31.349579,50.323384,50.323384,53413,50.323374,50.323393,0.0,0.0,0,8
72,0.02943,27.027941,50.323276,50.323276,53369,50.323269,50.323283,0.0,0.0,0,7
73,-0.01962,32.712379,50.354669,50.354669,66810,50.354674,50.354665,0.0,0.0,0,7
74,-0.06867,392.914642,50.350428,50.350428,64994,50.350445,50.350412,0.0,0.0,0,29
75,0.01962,22.212482,50.351424,50.351424,65416,50.351419,50.351429,0.0,0.0,0,6
76,0.01962,18.534931,50.330447,50.330447,56439,50.330442,50.330452,0.0,0.0,0,10
77,-0.004905,23.490416,50.353007,50.353007,66096,50.353008,50.353006,0.0,0.0,0,5
78,0.024525,31.2575,51.988706,51.988706,245965,51.9887,51.988712,0.0,0.0,0,13
79,0.02943,33.227062,51.994688,51.994688,248524,51.994681,51.994695,0.0,0.0,0,14
80,1.196815,41.725876,52.983243,52.983243,151268,52.982956,52.98353,0.0,0.0,0,413
81,-0.00981,32.357281,54.249625,54.249625,173236,54.249628,54.249623,0.0,0.0,0,4
82,-0.00981,40.788048,54.255609,54.255609,175796,54.255611,54.255607,0.0,0.0,0,5
83,-0.00981,40.380138,54.267572,54.267572,180916,54.267574,54.26757,0.0,0.0,0,4
