,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
0,-0.024525,23.584311,48.121017,48.121017,151212,48.121022,48.121011,0.0,0.0,0,4
1,0.004905,14.117224,49.850285,49.850285,111031,49.850284,49.850286,0.0,0.0,0,2
2,0.004905,34.894886,49.993891,49.993891,172493,49.99389,49.993892,0.0,0.0,0,4
3,0.004905,38.250843,50.005854,50.005854,177613,50.005853,50.005855,0.0,0.0,0,4
4,0.02943,24.559513,49.878983,49.878983,123311,49.878976,49.87899,0.0,0.0,0,5
5,0.004905,300.117981,49.999873,49.999873,175053,49.999872,49.999874,0.0,0.0,0,8
6,0.181484,29.356203,50.284592,50.284592,36798,50.284549,50.284636,0.0,0.0,0,29
7,0.063765,18.570049,50.272652,50.272652,31696,50.272637,50.272668,0.0,0.0,0,24
8,0.152054,26.526268,50.260673,50.260673,26564,50.260637,50.26071,0.0,0.0,0,30
9,0.127529,116.451469,50.29657,50.29657,41927,50.29654,50.296601,0.0,0.0,0,34
10,0.103005,30.221601,50.356383,50.356383,67532,50.356359,50.356408,0.0,0.0,0,27
11,0.147149,104.403839,50.278623,50.278623,34243,50.278588,50.278659,0.0,0.0,0,36
12,0.127529,41.089752,50.374329,50.374329,75207,50.374298,50.374359,0.0,0.0,0,32
13,-0.014715,12.169095,50.278853,50.278853,34361,50.278857,50.27885,0.0,0.0,0,5
14,-0.01962,12.429126,50.282894,50.282894,36090,50.282899,50.28289,0.0,0.0,0,4
15,0.147149,113.97554,50.350401,50.350401,64963,50.350366,50.350436,0.0,0.0,0,36
16,0.004905,18.611841,50.342675,50.342675,61674,50.342674,50.342676,0.0,0.0,0,5
17,-0.083385,16.160822,50.261112,50.261112,26774,50.261132,50.261092,0.0,0.0,0,22
18,-0.004905,20.724298,50.336729,50.336729,59129,50.33673,50.336727,0.0,0.0,0,5
19,-0.004905,27.044302,50.230728,50.230728,13762,50.23073,50.230727,0.0,0.0,0,3
20,0.01962,15.044621,50.331129,50.331129,56730,50.331124,50.331134,0.0,0.0,0,4
21,0.02943,27.320225,50.303575,50.303575,44936,50.303568,50.303582,0.0,0.0,0,6
22,-0.004905,46.427612,50.231967,50.231967,14292,50.231968,50.231966,0.0,0.0,0,4
23,-0.01962,15.47093,50.35063,50.35063,65081,50.350634,50.350625,0.0,0.0,0,5
24,0.004905,18.749378,50.320317,50.320317,52105,50.320316,50.320318,0.0,0.0,0,7
25,-0.01962,16.855398,50.326295,50.326295,54665,50.3263,50.32629,0.0,0.0,0,6
26,0.00981,28.907372,50.231218,50.231218,13971,50.231216,50.23122,0.0,0.0,0,18
27,-0.004905,25.172758,50.232063,50.232063,14334,50.232064,50.232061,0.0,0.0,0,3
28,-0.004905,83.946922,50.305127,50.305127,45616,50.305128,50.305126,0.0,0.0,0,38
29,-0.004905,23.77751,50.327495,50.327495,55177,50.327496,50.327493,0.0,0.0,0,6
30,0.01962,22.015938,50.327416,50.327416,55141,50.327412,50.327421,0.0,0.0,0,6
31,0.07848,14828.234375,50.314837,50.314837,49812,50.314818,50.314856,0.0,0.0,0,187
32,-0.004905,81.759346,50.224747,50.224747,11202,50.224748,50.224746,0.0,0.0,0,4
33,0.01962,27.048758,50.32758,50.32758,55211,50.327575,50.327585,0.0,0.0,0,6
34,0.004905,23.101246,50.331233,50.331233,56779,50.331232,50.331234,0.0,0.0,0,16
35,0.01962,19.205803,50.323379,50.323379,53414,50.323374,50.323384,0.0,0.0,0,6
36,0.147149,465.302032,50.302561,50.302561,44483,50.302526,50.302596,0.0,0.0,0,48
37,0.147149,858.162048,50.326484,50.326484,54723,50.326449,50.32652,0.0,0.0,0,49
38,0.004905,53.002251,50.330759,50.330759,56569,50.330758,50.33076,0.0,0.0,0,15
39,-0.220724,81.075142,50.332871,50.332871,57499,50.332924,50.332818,0.0,0.0,0,36
40,0.284489,60.884888,50.291075,50.291075,39559,50.291007,50.291143,0.0,0.0,0,35
41,0.284489,321.501617,50.338924,50.338924,60039,50.338856,50.338992,0.0,0.0,0,41
42,0.01962,15.733809,52.931457,52.931457,129261,52.931453,52.931462,0.0,0.0,0,3
