index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
40,0.004905,22.072847,49.86129,49.86129,115741,49.861289,49.861291,0.0,0.0,0,2
44,-0.004905,76.436104,50.062986,50.062986,202066,50.062987,50.062985,0.0,0.0,0,7
45,-0.053955,61.714252,50.290615,50.290615,39391,50.290628,50.290602,0.0,0.0,0,24
48,-0.08829,30.606705,50.25473,50.25473,24045,50.254751,50.254709,0.0,0.0,0,23
50,-0.093195,21.60144,50.272676,50.272676,31716,50.272698,50.272653,0.0,0.0,0,23
55,-0.103005,106.862404,50.296601,50.296601,41959,50.296626,50.296577,0.0,0.0,0,27
56,-0.06867,35.866177,50.284633,50.284633,36834,50.284649,50.284616,0.0,0.0,0,23
58,-0.08829,45.484276,50.374359,50.374359,75236,50.37438,50.374338,0.0,0.0,0,24
59,-0.07848,17.767073,50.362394,50.362394,70114,50.362413,50.362375,0.0,0.0,0,23
60,-0.06867,113.470947,50.278653,50.278653,34274,50.27867,50.278637,0.0,0.0,0,24
61,-0.07848,29.675224,50.356412,50.356412,67554,50.356431,50.356393,0.0,0.0,0,23
77,0.004905,23.620131,50.316543,50.316543,50489,50.316542,50.316545,0.0,0.0,0,4
81,-0.093195,112.223068,50.350434,50.350434,64996,50.350457,50.350412,0.0,0.0,0,26
82,-0.00981,13.051,50.279721,50.279721,34732,50.279724,50.279719,0.0,0.0,0,5
83,-0.093195,85.688072,50.33249,50.33249,57316,50.332512,50.332468,0.0,0.0,0,26
92,0.01962,23.668743,50.323276,50.323276,53369,50.323271,50.323281,0.0,0.0,0,6
94,0.004905,20.380333,50.354675,50.354675,66809,50.354674,50.354676,0.0,0.0,0,5
96,0.02943,19.463844,50.323384,50.323384,53414,50.323377,50.323391,0.0,0.0,0,6
99,0.01962,17.699232,50.351424,50.351424,65416,50.351419,50.351429,0.0,0.0,0,5
132,-0.004905,69.855904,54.297476,54.297476,193715,54.297477,54.297475,0.0,0.0,0,14
133,-0.004905,168.243866,54.321399,54.321399,203955,54.3214,54.321398,0.0,0.0,0,15
135,-0.004905,822.067871,54.31542,54.31542,201395,54.315421,54.315419,0.0,0.0,0,21
189,-0.034335,45.792046,61.248971,61.248971,47737,61.248979,61.248963,0.0,0.0,0,4
