index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
10,0.004905,46.132488,49.86129,49.86129,115741,49.861289,49.861291,0.0,0.0,0,3
18,-0.004905,325.824097,50.062989,50.062989,202067,50.06299,50.062987,0.0,0.0,0,12
30,-0.053955,279.158875,50.290613,50.290613,39399,50.290626,50.2906,0.0,0.0,0,27
31,-0.053955,59.788715,50.362393,50.362393,70111,50.362406,50.36238,0.0,0.0,0,24
33,-0.063765,85.212646,50.272671,50.272671,31712,50.272686,50.272656,0.0,0.0,0,25
35,-0.053955,114.537788,50.254724,50.254724,24031,50.254737,50.254711,0.0,0.0,0,25
36,-0.073575,425.876434,50.296597,50.296597,41963,50.296614,50.296579,0.0,0.0,0,29
42,-0.053955,133.711121,50.284631,50.284631,36839,50.284644,50.284619,0.0,0.0,0,25
44,0.004905,27.506866,50.316541,50.316541,50489,50.31654,50.316542,0.0,0.0,0,5
47,-0.053955,112.64563,50.356411,50.356411,67559,50.356424,50.356398,0.0,0.0,0,24
54,-0.044145,153.900558,50.374353,50.374353,75238,50.374364,50.374343,0.0,0.0,0,26
56,0.004905,28.188847,50.279727,50.279727,34732,50.279726,50.279728,0.0,0.0,0,6
59,-0.053955,448.270844,50.27865,50.27865,34279,50.278663,50.278637,0.0,0.0,0,30
66,-0.08829,289.768127,50.332489,50.332489,57325,50.33251,50.332468,0.0,0.0,0,29
71,0.03924,31.349579,50.323384,50.323384,53413,50.323374,50.323393,0.0,0.0,0,8
72,0.02943,27.027941,50.323276,50.323276,53369,50.323269,50.323283,0.0,0.0,0,7
73,-0.01962,32.712379,50.354669,50.354669,66810,50.354674,50.354665,0.0,0.0,0,7
74,-0.06867,392.914642,50.350428,50.350428,64994,50.350445,50.350412,0.0,0.0,0,29
75,0.01962,22.212482,50.351424,50.351424,65416,50.351419,50.351429,0.0,0.0,0,6
92,-0.00981,474.43103,54.297477,54.297477,193716,54.297479,54.297475,0.0,0.0,0,14
93,-0.00981,1089.835083,54.321403,54.321403,203956,54.321405,54.3214,0.0,0.0,0,17
94,-0.00981,5219.021973,54.315424,54.315424,201396,54.315426,54.315421,0.0,0.0,0,24
101,-0.03924,23.185562,61.24897,61.24897,47737,61.248979,61.248961,0.0,0.0,0,2
