index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
35,0.01962,19.205803,50.323379,50.323379,53414,50.323374,50.323384,0.0,0.0,0,6
60,-0.01962,33.640823,54.267565,54.267565,180915,54.26757,54.26756,0.0,0.0,0,3
61,-0.01962,46.851681,54.255604,54.255604,175795,54.255609,54.2556,0.0,0.0,0,4
62,-0.01962,28.233625,54.249623,54.249623,173235,54.249628,54.249618,0.0,0.0,0,4
63,-0.01962,136.45253,54.273551,54.273551,183475,54.273556,54.273546,0.0,0.0,0,8
66,-0.01962,170.679108,54.291495,54.291495,191155,54.2915,54.291491,0.0,0.0,0,8
67,-0.01962,29.340864,54.363268,54.363268,221875,54.363273,54.363263,0.0,0.0,0,3
68,-0.01962,67.266266,54.351308,54.351308,216755,54.351312,54.351303,0.0,0.0,0,6
70,-0.01962,60.191616,54.36925,54.36925,224435,54.369254,54.369245,0.0,0.0,0,5
71,-0.01962,88.205254,54.333363,54.333363,209075,54.333368,54.333358,0.0,0.0,0,7
72,-0.01962,135.165741,54.345326,54.345326,214195,54.345331,54.345321,0.0,0.0,0,9
73,-0.01962,471.579529,54.297475,54.297475,193715,54.297479,54.29747,0.0,0.0,0,15
74,-0.01962,1093.150146,54.3214,54.3214,203955,54.321405,54.321396,0.0,0.0,0,18
78,-0.01962,5103.182617,54.315419,54.315419,201395,54.315424,54.315414,0.0,0.0,0,23
