index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
71,0.03924,31.349579,50.323384,50.323384,53413,50.323374,50.323393,0.0,0.0,0,8
81,-0.00981,32.357281,54.249625,54.249625,173236,54.249628,54.249623,0.0,0.0,0,4
82,-0.00981,40.788048,54.255609,54.255609,175796,54.255611,54.255607,0.0,0.0,0,5
83,-0.00981,40.380138,54.267572,54.267572,180916,54.267574,54.26757,0.0,0.0,0,4
84,-0.00981,64.836174,54.333368,54.333368,209076,54.33337,54.333366,0.0,0.0,0,7
85,-0.00981,69.318466,54.351312,54.351312,216756,54.351315,54.35131,0.0,0.0,0,7
86,-0.00981,27.146025,54.363273,54.363273,221876,54.363275,54.36327,0.0,0.0,0,3
88,-0.00981,63.642235,54.369257,54.369257,224436,54.369259,54.369254,0.0,0.0,0,6
89,-0.00981,171.56929,54.291498,54.291498,191156,54.2915,54.291495,0.0,0.0,0,8
90,-0.00981,131.168961,54.345331,54.345331,214196,54.345333,54.345328,0.0,0.0,0,8
91,-0.00981,149.053299,54.273556,54.273556,183476,54.273558,54.273553,0.0,0.0,0,8
92,-0.00981,474.43103,54.297477,54.297477,193716,54.297479,54.297475,0.0,0.0,0,14
93,-0.00981,1089.835083,54.321403,54.321403,203956,54.321405,54.3214,0.0,0.0,0,17
94,-0.00981,5219.021973,54.315424,54.315424,201396,54.315426,54.315421,0.0,0.0,0,24
