,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
0,-0.004905,66.445518,66.425052,66.425052,113440,66.425053,66.425051,0.0,0.0,0,4
1,-0.004905,121.011787,66.309449,66.309449,63966,66.30945,66.309448,0.0,0.0,0,18
2,0.063765,42.772449,67.00347,67.00347,100894,67.003454,67.003485,0.0,0.0,0,4
3,0.01962,22.382605,67.013518,67.013518,105200,67.013513,67.013522,0.0,0.0,0,3
4,-0.00981,37.082626,67.218557,67.218557,192957,67.21856,67.218555,0.0,0.0,0,3
5,-0.014715,229.999435,67.242482,67.242482,203198,67.242486,67.242478,0.0,0.0,0,5
6,-0.024525,32.489197,67.248174,67.248174,205634,67.24818,67.248168,0.0,0.0,0,2
7,0.03924,202.733231,67.800015,67.800015,181714,67.800005,67.800024,0.0,0.0,0,4
8,0.053955,17.328278,68.00295,68.00295,8472,68.002937,68.002963,0.0,0.0,0,3
9,-0.004905,43.048634,68.470779,68.470779,208703,68.47078,68.470778,0.0,0.0,0,4
10,-0.004905,57.239643,68.440245,68.440245,195635,68.440247,68.440244,0.0,0.0,0,4
11,-0.004905,49.104729,68.495331,68.495331,219211,68.495332,68.49533,0.0,0.0,0,4
12,-0.004905,48.182598,68.507294,68.507294,224331,68.507295,68.507292,0.0,0.0,0,4
13,-0.004905,64.537521,68.50131,68.50131,221771,68.501311,68.501309,0.0,0.0,0,5
14,0.05886,414.605042,68.003522,68.003522,8715,68.003508,68.003536,0.0,0.0,0,6
15,-0.004905,44.361317,68.898244,68.898244,131558,68.898245,68.898243,0.0,0.0,0,4
16,-0.004905,29.615332,68.892263,68.892263,128998,68.892264,68.892262,0.0,0.0,0,4
17,-0.004905,41.719563,68.904226,68.904226,134118,68.904227,68.904224,0.0,0.0,0,4
18,-0.004905,44.083893,69.692108,69.692108,211228,69.692109,69.692107,0.0,0.0,0,4
19,-0.004905,81.400589,69.698087,69.698087,213788,69.698088,69.698086,0.0,0.0,0,5
20,-0.004905,63.176849,69.686124,69.686124,208668,69.686126,69.686123,0.0,0.0,0,5
21,-0.004905,82.135155,69.716658,69.716658,221736,69.716659,69.716657,0.0,0.0,0,5
22,-0.004905,67.917053,69.728623,69.728623,226856,69.728624,69.728622,0.0,0.0,0,4
