index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
1,-0.004905,121.011787,66.309449,66.309449,63966,66.30945,66.309448,0.0,0.0,0,18
4,-0.00981,37.082626,67.218557,67.218557,192957,67.21856,67.218555,0.0,0.0,0,3
5,-0.014715,229.999435,67.242482,67.242482,203198,67.242486,67.242478,0.0,0.0,0,5
32,-0.004905,15.631484,70.986722,70.986722,245118,70.986723,70.986721,0.0,0.0,0,4
40,-0.01962,37.29163,70.968678,70.968678,237398,70.968683,70.968674,0.0,0.0,0,5
42,0.02943,33.780449,70.990174,70.990174,246592,70.990167,70.990181,0.0,0.0,0,4
46,0.299204,23.86841,70.983173,70.983173,243569,70.983101,70.983245,0.0,0.0,0,3
50,0.04905,15.411492,71.415123,71.415123,168368,71.415111,71.415135,0.0,0.0,0,4
51,0.044145,40.579014,71.409143,71.409143,165809,71.409132,71.409153,0.0,0.0,0,4
52,0.05886,49.714695,71.421105,71.421105,170927,71.42109,71.421119,0.0,0.0,0,5
