index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
0,-0.024525,100.95282,66.309444,66.309444,63966,66.30945,66.309438,0.0,0.0,0,19
6,-0.014715,51.936844,67.218556,67.218556,192958,67.21856,67.218553,0.0,0.0,0,3
8,-0.014715,299.532257,67.242484,67.242484,203198,67.242488,67.242481,0.0,0.0,0,6
59,-0.004905,120.59594,70.986722,70.986722,245118,70.986723,70.986721,0.0,0.0,0,5
61,-0.02943,21.29228,70.968681,70.968681,237399,70.968688,70.968673,0.0,0.0,0,4
80,0.02943,85.959755,70.990174,70.990174,246592,70.990167,70.990181,0.0,0.0,0,4
83,0.279584,96.449287,70.983173,70.983173,243571,70.983106,70.98324,0.0,0.0,0,5
132,0.05886,50.690258,71.415125,71.415125,168367,71.415111,71.41514,0.0,0.0,0,6
135,0.05886,149.26149,71.409144,71.409144,165807,71.40913,71.409158,0.0,0.0,0,9
136,0.05886,189.909851,71.421107,71.421107,170927,71.421093,71.421121,0.0,0.0,0,9
